Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
Characteristic,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate3,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
18 years and over,"255,255",770,"1,518","2,812","3,201","2,926","3,340","9,826","74,530","42,099","10,662","14,726","56,350","24,160","3,478","4,859"
18 to 24 years,"28,981",43,42,80,200,203,459,"3,432","10,065","9,113",634,"1,080","3,305",279,34,11
25 years and over,"226,274",727,"1,476","2,732","3,001","2,723","2,880","6,394","64,465","32,986","10,028","13,645","53,045","23,881","3,444","4,848"
25 to 29 years,"21,747",14,36,82,188,149,166,546,"6,337","3,551",815,"1,252","6,390","1,804",200,217
30 to 34 years,"22,836",25,58,142,187,217,247,613,"5,767","3,409",922,"1,544","6,344","2,567",292,504
35 to 39 years,"21,992",73,85,164,244,240,274,640,"5,426","3,076",911,"1,369","5,786","2,762",400,543
40 to 44 years,"21,198",47,124,314,282,321,280,548,"5,283","2,784",916,"1,219","5,395","2,734",424,524
45 to 49 years,"19,430",48,107,305,280,273,243,476,"4,927","2,679",966,"1,115","4,713","2,539",331,427
50 to 54 years,"20,700",54,133,297,299,297,227,603,"5,895","2,618",995,"1,196","4,979","2,377",264,467
55 to 59 years,"21,004",111,168,248,258,243,299,609,"6,462","2,947","1,079","1,471","4,575","1,840",257,436
60 to 64 years,"21,174",74,150,277,260,223,318,689,"6,791","3,183","1,026","1,318","4,324","1,840",326,374
65 to 69 years,"18,533",73,134,253,271,225,236,547,"5,587","2,907",905,"1,232","3,702","1,767",269,424
70 to 74 years,"15,171",47,173,212,194,193,181,364,"4,242","2,660",676,929,"3,010","1,672",258,361
75 years and over,"22,489",161,308,438,537,341,409,760,"7,748","3,170",818,"1,000","3,825","1,979",424,570
