Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
Characteristic,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate3,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
18 years and over,"124,546",389,807,"1,422","1,649","1,572","1,782","5,098","38,672","20,452","5,207","6,141","26,568","10,264","1,873","2,649"
18 to 24 years,"14,567",21,24,58,122,132,247,"1,771","5,591","4,367",317,415,"1,377",107,13,5
25 years and over,"109,979",368,782,"1,364","1,526","1,441","1,535","3,327","33,081","16,085","4,890","5,726","25,192","10,156","1,860","2,644"
25 to 29 years,"10,940",9,27,48,100,94,91,295,"3,617","1,902",356,557,"2,991",683,87,81
30 to 34 years,"11,386",10,32,91,98,130,131,300,"3,223","1,804",446,689,"3,047","1,014",142,228
35 to 39 years,"10,987",39,42,85,129,132,142,361,"3,128","1,582",470,592,"2,770","1,101",177,238
40 to 44 years,"10,593",35,69,176,166,166,147,298,"3,038","1,470",454,486,"2,511","1,139",186,251
45 to 49 years,"9,623",33,60,141,151,130,136,274,"2,769","1,377",496,441,"2,221","1,021",164,209
50 to 54 years,"10,261",28,80,169,140,162,140,347,"3,252","1,258",508,487,"2,396",884,145,266
55 to 59 years,"10,339",58,104,142,150,127,192,322,"3,389","1,365",500,647,"2,140",800,138,265
60 to 64 years,"10,203",30,90,127,118,128,184,358,"3,424","1,425",519,505,"2,015",877,188,216
65 to 69 years,"8,818",32,58,122,152,127,118,279,"2,616","1,382",419,534,"1,711",825,177,266
70 to 74 years,"7,012",27,103,78,77,91,81,178,"1,784","1,206",344,411,"1,464",774,170,223
75 years and over,"9,817",69,117,184,246,153,172,315,"2,841","1,316",378,377,"1,926","1,038",286,401
